z_mm,T_wall_K,T_bulk_K,Nu
3.750000000000000000e-01,3.035223337835461734e+02,2.985809901851467885e+02,1.669753361247916956e+01
1.125000000000000222e+00,3.086085053781985152e+02,2.993437636005926947e+02,8.905617966009211628e+00
1.875000000000000222e+00,3.114351654021526201e+02,3.001556109151204623e+02,7.314850149439886096e+00
2.625000000000000000e+00,3.135705057760899876e+02,3.009583484185162661e+02,6.541961734685740382e+00
3.375000000000000000e+00,3.153603310873943428e+02,3.017614296981644770e+02,6.067273264473251437e+00
4.125000000000000000e+00,3.169336750144960888e+02,3.025643226250950306e+02,5.741960290843810988e+00
4.875000000000000888e+00,3.183576607178821405e+02,3.033670117031559244e+02,5.503981231501697380e+00
5.625000000000000000e+00,3.196725004136229131e+02,3.041699292465538633e+02,5.322230095633980973e+00
6.375000000000000888e+00,3.209045005117008031e+02,3.049727480680589906e+02,5.178855942995188144e+00
7.124999999999999112e+00,3.220716603600697567e+02,3.057753728700590727e+02,5.063009036607786229e+00
7.875000000000000000e+00,3.231871692235914111e+02,3.065781841914167671e+02,4.967687710311553317e+00
8.625000000000000000e+00,3.242596638999377774e+02,3.073809341974456970e+02,4.888297418075276290e+00
9.375000000000001776e+00,3.252966610599793853e+02,3.081837788066960684e+02,4.821411706333238456e+00
1.012500000000000000e+01,3.263040008544794546e+02,3.089864739010753283e+02,4.764436114179903647e+00
1.087500000000000000e+01,3.272854973306218653e+02,3.097892797002530187e+02,4.715776436266419402e+00
1.162500000000000000e+01,3.282450052894978967e+02,3.105920131314695141e+02,4.673896078719929292e+00
1.237500000000000000e+01,3.291855061845860178e+02,3.113948585889859828e+02,4.637731728522820340e+00
1.312500000000000178e+01,3.301094973545011158e+02,3.121975155898682033e+02,4.606316146881887619e+00
1.387500000000000000e+01,3.310190022781921471e+02,3.130003722988779487e+02,4.579052398534399160e+00
1.462500000000000000e+01,3.319161682123875039e+02,3.138031111835961724e+02,4.555180867256851229e+00
1.537500000000000000e+01,3.328016659860195432e+02,3.146059564583032397e+02,4.534489336588014119e+00
1.612500000000000000e+01,3.336779994014843282e+02,3.154087041429825149e+02,4.516225155794469259e+00
1.687500000000000000e+01,3.345456639323033414e+02,3.162115533910880458e+02,4.500259264806056869e+00
1.762500000000000000e+01,3.354058323938322701e+02,3.170142221828738229e+02,4.486189620086708629e+00
1.837500000000000355e+01,3.362593332919105933e+02,3.178169554011034279e+02,4.473840158443439741e+00
1.912500000000000000e+01,3.371066645450884494e+02,3.186198221250223241e+02,4.463079683933790065e+00
1.987500000000000000e+01,3.379489954751898608e+02,3.194225535288460947e+02,4.453540030192667309e+00
2.062500000000000000e+01,3.387869600818309550e+02,3.202253360342017459e+02,4.445098694670573281e+00
2.137500000000000000e+01,3.396204981402394765e+02,3.210280210959998044e+02,4.437722344836522836e+00
2.212500000000000000e+01,3.404506632478480128e+02,3.218307448805741160e+02,4.431182199493303386e+00
2.287500000000000000e+01,3.412773290027894291e+02,3.226334627121780727e+02,4.425490375171370339e+00
2.362500000000000000e+01,3.421015070614340630e+02,3.234363807106451532e+02,4.420449627526640057e+00
2.437500000000000000e+01,3.429228317261155325e+02,3.242389385494271892e+02,4.416009556724880269e+00
2.512500000000000000e+01,3.437421666462073517e+02,3.250414981322079484e+02,4.412048198347372718e+00
2.587500000000000355e+01,3.445590001435122645e+02,3.258440831082725140e+02,4.408689104510663981e+00
2.662500000000000000e+01,3.453741658520016244e+02,3.266466829977365478e+02,4.405730949917368910e+00
2.737500000000000000e+01,3.461876683499671685e+02,3.274489412364596319e+02,4.403087270832160449e+00
2.812500000000000000e+01,3.469996749824848052e+02,3.282514663645505948e+02,4.400860503875370533e+00
2.887500000000000000e+01,3.478138219089278209e+02,3.290576322442061041e+02,4.398987870136077838e+00
2.962500000000000000e+01,3.486953269533436810e+02,3.299317612696245874e+02,4.397258613626613410e+00
